OBJECTID,STREETSEGID,SSD_ID,SOURCEID,ROUTETYPE,ROUTE_ID,SNOWZONE,AGENCY,BEGINMEASURE,ENDMEASURE,SNOWAREA,SHAPE_Length
1,2616,1031201720817209010,13120015,Primary,20,4,DPW,0,64.67151093,,64.6715023278182
2,10424,2038091254914583012,23809220,Secondary,40,11,DDOT,0,173.87521176,,173.875226054288
3,12968,1064281706420265012,16428170,Secondary,18,5,DPW,0,133.69233754,,133.692318172686
4,7393,3003201568619937012,30320210,Narrow Road, ,7,DPW,0,101.29029186,703,101.290307293771
5,93,1026910053114592012,12691030,Secondary,27,5,DPW,0,89.07091828,,89.0709361748036
6,9628,1001400061619319012,10140598,Secondary,37,9,DPW,0,132.76579273,,132.765768819711
7,12265,1072862022515230011,17286215,Secondary,12,6,DPW,0,88.51954672,,88.51952253604
8,5194,3059451892515585012,35945320,Primary,67,8,DPW,0,26.05594995,,26.0559301491242
9,11950,2004401678120874012,20440070,Priority Hills, ,13,DDOT,0,74.57018327,1303,74.5701992396237
10,2532,1087422044921639012,18742165,Priority Hills, ,9,DPW,0,138.64802406,907,138.648049652456
11,3167,2036721761317001012,23672132,Primary,50,12,DDOT,0,58.75439305,,58.7543847200112
12,6876,2001302176720805012,20130405,Secondary,42,10,DDOT,0,74.88295823,,74.8829580930555
13,8647,1043741803114682011,14374110,Primary,14,4,DPW,0,230.81767279,,230.817671181917
14,6826,1002102138616935011,10210110,Secondary,21,6,DPW,0,208.96934331,,208.969325233245
15,6141,1003001699719847012,10300110,Secondary,12,3,DPW,0,94.02433966,,94.0243276494139
16,11252,3081511912020951012,38151230,Primary,68,8,DPW,0,87.74498704,,87.7449756839184
17,8855,3074360619418373012,37436010,Priority Hills, ,8,DPW,0,63.66399432,804,63.6639889522299
18,3657,1060641659917915012,16064415,Primary,2,1,DPW,0,43.6099917,,43.6100076693917
19,857,1001401519615197012,10140580,Secondary,37,9,DPW,0,88.68125142,,88.6812227985911
20,2722,1088331733216075012,18833560,Secondary,2,1,DPW,0,39.28077969,,39.2808019233445
21,5149,1001301891018911012,10130390,Secondary,33,9,DPW,0,118.3502015,,118.350185430824
22,7920,2061421831619919012,26142090,Secondary,42,10,DDOT,0,92.96644512,,92.96645980638
23,10048,2001302080515834012,20130410,Secondary,42,10,DDOT,0,90.46114056,,90.461161860944
24,4321,3061292123317364012,36129015,Priority Hills, ,8,DPW,0,109.15369102,804,109.153690815596
25,8059,1004802017119462012,10480200,Priority Hills, ,3,DPW,0,119.33609612,303,119.336072295125
26,1656,1001902169005690011,10190120,Secondary,24,6,DPW,0,88.92249436,,88.9224811334894
27,9268,3009361863220602012,30936110,Primary,66,8,DPW,0,94.5844988,,94.5844985912131
28,1159,2052061591215655012,25206047,Priority Hills, ,10,DDOT,0,71.38352004,1002,71.3834865715212
29,11311,2063252087516950012,26325445,Secondary,59,13,DDOT,0,75.94548513,,75.9454866251367
